404719 713319
253600 0 1
20979 1 1
46230 2 1
154917 3 1
26369 4 1
342899 5 1
204972 6 1
317484 7 1
273314 8 1
364043 9 1
269433 10 1
329908 10 1
192069 11 1
246945 11 1
272556 11 1
320293 11 1
376934 11 1
387771 12 1
395696 13 1
252868 14 1
349741 15 1
124828 16 1
386484 16 1
84840 17 1
291436 18 1
64668 19 1
402373 19 1
128858 20 1
160840 20 1
360550 20 1
291425 21 1
336016 22 1
70073 23 1
206865 23 1
182753 24 1
341388 25 1
128251 26 1
20979 27 1
92335 28 1
320013 29 1
376639 29 1
32692 30 1
238958 31 1
399086 31 1
170659 32 1
271040 32 1
271320 33 1
34151 34 1
78116 34 1
78125 34 1
94220 34 1
115546 34 1
119586 34 1
129113 34 1
160392 34 1
179045 34 1
190588 34 1
209525 34 1
234113 34 1
289777 34 1
293789 34 1
325097 34 1
343455 34 1
357597 34 1
375467 34 1
392694 34 1
393962 34 1
398226 34 1
147371 35 1
199391 36 1
82536 37 1
145762 37 1
170930 37 1
244749 37 1
251373 37 1
349953 37 1
103549 38 1
19193 39 1
138005 40 1
216826 41 1
290977 42 1
382846 43 1
44869 44 1
5883 45 1
100528 46 1
241773 46 1
92295 47 1
211073 47 1
44598 48 1
63124 48 1
83488 48 1
127521 48 1
239533 48 1
243978 48 1
259622 48 1
299016 48 1
326216 48 1
128362 49 1
305107 50 1
133301 51 1
540 52 1
101074 52 1
352971 52 1
64024 53 1
221014 54 1
398987 55 1
249107 56 1
385113 57 1
75308 58 1
9338 59 1
73444 59 1
99249 59 1
192022 59 1
372009 60 1
167849 61 1
174621 62 1
368974 62 1
22284 63 1
241027 64 1
347206 65 1
182753 66 1
178155 67 1
81410 68 1
12487 69 1
127108 69 1
226469 69 1
381102 69 1
309153 70 1
247647 71 1
276223 72 1
314802 72 1
103933 73 1
147969 73 1
191103 73 1
59096 74 1
271320 75 1
59096 76 1
247647 77 1
113225 78 1
300621 79 1
67271 80 1
59940 81 1
267495 81 1
334706 81 1
368974 81 1
368976 81 1
75958 82 1
270262 82 1
378499 82 1
269677 83 1
243067 84 1
43020 85 1
93627 85 1
136711 85 1
145585 85 1
365466 86 1
352501 87 1
162697 88 1
102305 89 1
277390 89 1
126454 90 1
206865 91 1
327348 92 1
77918 93 1
289609 93 1
319355 93 1
345931 94 1
369425 95 1
245696 96 1
137330 97 1
247719 97 1
350162 97 1
392436 97 1
266763 98 1
153070 99 1
271320 99 1
188568 100 1
229707 101 1
236702 102 1
366222 103 1
742 104 1
1790 104 1
2512 104 1
3836 104 1
5488 104 1
5949 104 1
6579 104 1
7112 104 1
7830 104 1
7995 104 1
8376 104 1
8460 104 1
11583 104 1
12042 104 1
12087 104 1
12437 104 1
13143 104 1
13786 104 1
14183 104 1
15118 104 1
15497 104 1
15721 104 1
16953 104 1
17094 104 1
17638 104 1
17837 104 1
18657 104 1
19743 104 1
20895 104 1
21033 104 1
21390 104 1
24790 104 1
24876 104 1
24913 104 1
30734 104 1
32205 104 1
33934 104 1
34047 104 1
35024 104 1
35519 104 1
35663 104 1
36022 104 1
36466 104 1
37434 104 1
39416 104 1
41989 104 1
43773 104 1
43781 104 1
45532 104 1
46041 104 1
48630 104 1
50514 104 1
51208 104 1
51258 104 1
51727 104 1
52324 104 1
52755 104 1
53490 104 1
54444 104 1
57082 104 1
57798 104 1
58053 104 1
59129 104 1
59809 104 1
60020 104 1
60067 104 1
62014 104 1
63559 104 1
63605 104 1
63742 104 1
63829 104 1
64710 104 1
65085 104 1
65992 104 1
66032 104 1
66389 104 1
68152 104 1
69347 104 1
69509 104 1
69890 104 1
70890 104 1
71652 104 1
74360 104 1
75204 104 1
75291 104 1
75915 104 1
77190 104 1
77894 104 1
79983 104 1
81381 104 1
81445 104 1
82356 104 1
82430 104 1
83955 104 1
86660 104 1
87423 104 1
87784 104 1
88217 104 1
88524 104 1
88958 104 1
89063 104 1
90174 104 1
91321 104 1
93757 104 1
94264 104 1
95399 104 1
96576 104 1
96637 104 1
98932 104 1
99197 104 1
100095 104 1
100629 104 1
102478 104 1
103796 104 1
103821 104 1
107797 104 1
108314 104 1
108688 104 1
108891 104 1
109211 104 1
109877 104 1
110697 104 1
111609 104 1
112147 104 1
112331 104 1
113115 104 1
113283 104 1
114203 104 1
114900 104 1
115740 104 1
116245 104 1
117032 104 1
117616 104 1
118724 104 1
118952 104 1
119695 104 1
120154 104 1
120271 104 1
121252 104 1
123580 104 1
124457 104 1
128822 104 1
131873 104 1
132581 104 1
134301 104 1
135640 104 1
136503 104 1
142682 104 1
144764 104 1
145391 104 1
146588 104 1
149973 104 1
150096 104 1
150634 104 1
150944 104 1
153837 104 1
155355 104 1
155593 104 1
156101 104 1
156145 104 1
157149 104 1
157564 104 1
157750 104 1
158388 104 1
158584 104 1
159329 104 1
160263 104 1
163455 104 1
163881 104 1
166330 104 1
166570 104 1
167026 104 1
167388 104 1
170766 104 1
171218 104 1
171360 104 1
171660 104 1
171734 104 1
171871 104 1
173346 104 1
173750 104 1
175136 104 1
175389 104 1
175606 104 1
176028 104 1
176145 104 1
180206 104 1
182762 104 1
184055 104 1
184837 104 1
185237 104 1
186043 104 1
186290 104 1
186596 104 1
188035 104 1
189644 104 1
191226 104 1
191895 104 1
192275 104 1
192756 104 1
192902 104 1
195579 104 1
198166 104 1
198612 104 1
198755 104 1
199597 104 1
200686 104 1
201483 104 1
202448 104 1
202644 104 1
203747 104 1
204812 104 1
205340 104 1
206347 104 1
208807 104 1
209536 104 1
209859 104 1
209892 104 1
210750 104 1
211373 104 1
213036 104 1
213564 104 1
213646 104 1
214078 104 1
216881 104 1
217419 104 1
217823 104 1
217933 104 1
217957 104 1
218205 104 1
220260 104 1
220459 104 1
220647 104 1
221022 104 1
221080 104 1
221256 104 1
222235 104 1
222392 104 1
223576 104 1
224349 104 1
